Assembly_Segment,Booth_No,Total_Electors_2024,Age_mean_2024,Age_median_2024,Age_18_25_mean_2024,Age_26_40_mean_2024,Age_41_60_mean_2024,Age_60_plus_mean_2024,Is_Male_mean_2024,Is_Female_mean_2024,Caste_Brahmin_mean_2024,Caste_Muslim_mean_2024,Caste_OBC_Patel_Kurmi_mean_2024,Caste_OBC_Yadav_mean_2024,Caste_SC_Dalit_mean_2024,Caste_Thakur_Rajput_mean_2024,Caste_Vaishya_Other_mean_2024,Source_File,INC,BSP,BJP,YTP,ADK,IND_1,IND_2,Total Valid Votes,Rejected Votes,NOTA,Total Votes,Tendered Votes,Computed_vs_Printed_Match,BJP_Vote_Share,INC_Vote_Share,BSP_Vote_Share,ADK_Vote_Share,Turnout_Percentage,Other_Vote_Share
Rohaniya,1,5070,47.226824457593686,45.0,0.048323471400394474,0.32327416173570017,0.4203155818540434,0.20808678500986194,0.5209072978303747,0.47909270216962524,0.1504930966469428,0.18520710059171597,0.16489151873767258,0.13806706114398423,0.13274161735700196,0.10433925049309664,0.1242603550295858,2024091311-1.pdf,294,14,399,2,5,5,1,720,0,4,724,0,True,0.5541666666666667,0.4083333333333333,0.019444444444444445,0.006944444444444444,0.1428007889546351,0.011111111111111072
Rohaniya,6,4923,47.656916514320535,46.0,0.046719479991874875,0.3071297989031079,0.43855372740199067,0.20759699370302662,0.5244769449522649,0.4755230550477351,0.14747105423522242,0.17936217753402398,0.16839325614462727,0.1289863904123502,0.14036156814950235,0.10176721511273613,0.13365833841153768,2024091311-1.pdf,177,27,322,1,0,0,2,529,0,2,531,0,True,0.6086956521739131,0.33459357277882795,0.05103969754253308,0.0,0.10786106032906764,0.005671077504725841
Rohaniya,11,4789,47.42639381916893,46.0,0.04593860931300898,0.3230319482146586,0.42409688870327833,0.2069325537690541,0.5078304447692629,0.49216955523073713,0.16517018166631864,0.18145750678638548,0.15326790561703904,0.1371893923574859,0.13489246189183546,0.09563583211526415,0.13238671956567133,2024091311-1.pdf,343,10,351,2,2,1,1,710,0,1,711,0,True,0.4943661971830986,0.4830985915492958,0.014084507042253521,0.0028169014084507044,0.14846523282522447,0.005633802816901401
Rohaniya,16,4936,47.55368719611021,46.0,0.043354943273905995,0.3354943273905997,0.4051863857374392,0.2159643435980551,0.5403160453808752,0.4596839546191248,0.14606969205834683,0.17078606158833062,0.16754457050243113,0.14120745542949756,0.1456645056726094,0.10393030794165316,0.12479740680713128,2024091311-1.pdf,207,92,237,4,0,2,0,542,0,4,546,0,True,0.43726937269372695,0.38191881918819187,0.16974169741697417,0.0,0.11061588330632091,0.011070110701106972
Rohaniya,21,4910,47.07881873727088,45.0,0.04602851323828921,0.33930753564154786,0.4154786150712831,0.19918533604887984,0.5183299389002036,0.4816700610997963,0.15254582484725052,0.18798370672097758,0.15824847250509164,0.13034623217922606,0.13991853360488798,0.10244399185336049,0.1285132382892057,2024091311-1.pdf,171,16,386,2,0,1,1,577,0,7,584,0,True,0.6689774696707106,0.29636048526863085,0.02772963604852686,0.0,0.11894093686354379,0.006932409012131657
Rohaniya,26,4983,47.483042343969494,46.0,0.04515352197471403,0.3271121814168172,0.4218342364037728,0.20590006020469598,0.5209713024282561,0.47902869757174393,0.1456953642384106,0.17519566526189043,0.16576359622717238,0.1489062813566125,0.1356612482440297,0.0975316074653823,0.1312462372065021,2024091311-1.pdf,178,3,424,6,0,1,1,613,0,4,617,0,True,0.6916802610114192,0.2903752039151713,0.004893964110929853,0.0,0.12382099137066024,0.013050570962479635
Rohaniya,31,4842,47.36617100371747,46.0,0.04399008674101611,0.322180916976456,0.42627013630731103,0.20755885997521686,0.5212722015695993,0.47872779843040064,0.14270962412226354,0.18380834365964477,0.1633622470053697,0.13568773234200743,0.14188351920693928,0.10099132589838909,0.1315572077653862,2024091311-1.pdf,158,39,408,4,1,1,1,612,0,3,615,0,True,0.6666666666666666,0.2581699346405229,0.06372549019607843,0.0016339869281045752,0.12701363073110286,0.009803921568627416
Rohaniya,36,4757,47.51334874921169,46.0,0.04898044986335926,0.3243640950178684,0.4174900147151566,0.20916544040361573,0.5272230397309229,0.4727769602690772,0.1517763296195081,0.17532058019760352,0.1654404036157242,0.14252680260668488,0.13537944082404876,0.10279587975614883,0.1267605633802817,2024091311-1.pdf,191,13,291,4,0,0,1,500,0,5,505,0,True,0.582,0.382,0.026,0.0,0.10615934412444818,0.010000000000000009
Rohaniya,41,5087,47.52820916060546,45.0,0.050324356202083746,0.32298014546884213,0.40790249655985844,0.21879300176921565,0.5148417534892864,0.4851582465107136,0.147827796343621,0.1893060743070572,0.15687045409868292,0.14114409278553175,0.1364261843915864,0.10084529192058188,0.12758010615293885,2024091311-1.pdf,153,2,554,1,0,1,1,712,0,3,715,0,True,0.7780898876404494,0.2148876404494382,0.0028089887640449437,0.0,0.1405543542362886,0.004213483146067509
Rohaniya,46,5066,47.678247137781284,46.0,0.041255428345834975,0.3181997631267272,0.43703118831425186,0.20351362021318595,0.5051322542439795,0.49486774575602055,0.15001973943939992,0.1780497433872878,0.1650217133833399,0.14133438610343466,0.14093959731543623,0.09889459139360442,0.12574022897749704,2024091311-1.pdf,186,5,417,0,0,0,0,608,0,1,609,0,True,0.6858552631578947,0.3059210526315789,0.008223684210526315,0.0,0.12021318594551915,0.0
